cdm_id,ingredient
1521369,norethisterone
42943300,norethisterone
2075013,norethisterone
42943298,norethisterone
2075029,norethisterone
2075027,norethisterone
923081,ofloxacin
2023319,ofloxacin
42921368,ofloxacin
42918055,ofloxacin
42918056,ofloxacin
2030646,ofloxacin
42921371,ofloxacin
2030647,ofloxacin
42921353,ofloxacin
42952918,ofloxacin
42921359,ofloxacin
2030621,ofloxacin
2030606,ofloxacin
42920230,oxaliplatin
42920059,oxaliplatin
2026852,oxaliplatin
1318011,oxaliplatin
42920581,oxaliplatin
42920235,oxaliplatin
40714290,oxaliplatin
2027419,oxaliplatin
42920586,oxaliplatin
40715712,oxaliplatin
2026488,oxaliplatin
42920236,oxaliplatin
2026490,oxaliplatin
42920587,oxaliplatin
2026851,oxaliplatin
2027418,oxaliplatin
42948916,oxymetholone
1525741,oxymetholone
42921578,pembrolizumab
45775965,pembrolizumab
42941522,phenytoin
2028169,phenytoin
740910,phenytoin
42921163,phenytoin
36260024,progesterone
1552382,progesterone
1552310,progesterone
19017494,progesterone
21060698,progesterone
43669940,progesterone
2054741,progesterone
2054743,progesterone
2054742,progesterone
19127049,progesterone
42967493,propylthiouracil
1554072,propylthiouracil
42970084,pyrazinamide
1759455,pyrazinamide
42924976,rifampin
42924986,rifampin
42924981,rifampin
42924980,rifampin
1763204,rifampin
42948571,rifampin
1314273,rituximab
35784602,rituximab
41450303,rituximab
35782659,rituximab
41399130,rituximab
41370629,rituximab
1356446,rituximab
1356444,rituximab
42920543,rituximab
40165246,rosuvastatin
40165262,rosuvastatin
40165254,rosuvastatin
1510813,rosuvastatin
42969191,rosuvastatin
42969441,rosuvastatin
42969250,rosuvastatin
42969644,rosuvastatin
42969041,rosuvastatin
42969662,rosuvastatin
2063262,rosuvastatin
42969485,rosuvastatin
42969086,rosuvastatin
42969868,rosuvastatin
42969083,rosuvastatin
42969309,rosuvastatin
42969023,rosuvastatin
42936847,simvastatin
42708398,simvastatin
42936852,simvastatin
42708401,simvastatin
1539403,simvastatin
42936788,simvastatin
21141482,simvastatin
42936791,simvastatin
44785097,sofosbuvir
45775164,sofosbuvir
44785094,sofosbuvir
2047894,stavudine
1781406,stavudine
1836392,sulfadiazine
43169035,sulfadiazine
19024445,sulfamethoxazole
42921524,sulfamethoxazole
1836430,sulfamethoxazole
42921523,sulfamethoxazole
42937747,sulfasalazine
42937748,sulfasalazine
964339,sulfasalazine
42934160,ticlopidine
1302398,ticlopidine
2028581,valproate
42931742,valproate
42931727,valproate
2053914,valproate
42931710,valproate
745466,valproate
40238249,valproate
42919003,valproate
2031838,valproate
42931728,valproate
2053919,valproate
42931721,valproate
42931743,valproate
42939787,acetaminophen
42939994,acetaminophen
1125315,acetaminophen
42928300,acetaminophen
42939841,acetaminophen
42940117,acetaminophen
42948431,acetaminophen
1128524,acetaminophen
42928316,acetaminophen
40241587,acetaminophen
42918304,acetaminophen
2010087,acetaminophen
740261,acetaminophen
42939780,acetaminophen
42928273,acetaminophen
19123143,acetaminophen
42928314,acetaminophen
42940074,acetaminophen
42939754,acetaminophen
42939997,acetaminophen
42957260,acetaminophen
2013365,acetaminophen
42940006,acetaminophen
42928315,acetaminophen
42939846,acetaminophen
2071493,acetaminophen
1103360,acetaminophen
2013377,acetaminophen
42940102,acetaminophen
2071596,acetaminophen
42950014,aspirin
42950011,aspirin
42950032,aspirin
1112807,aspirin
43706824,aspirin
42949821,aspirin
42949831,aspirin
2072047,aspirin
42949962,aspirin
42949826,aspirin
42949950,aspirin
2072049,aspirin
42949949,aspirin
42949935,aspirin
920458,betamethasone
42917527,betamethasone
41501966,betamethasone
42917335,betamethasone
2023451,betamethasone
2023450,betamethasone
2023440,betamethasone
2023439,betamethasone
2023454,betamethasone
